"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"Smith Bros. Plumbing & Heating","8 MacDonald Dr","Houlton","ME","04730","(207) 532-9271","","Plumbing/Heating","Houlton"
"State Farm Insurance","5 Bangor St","Houlton","ME","04730","(207) 532-4211","","Insurance","Houlton"
"Steelstone Industries","45 Bangor St","Houlton","ME","04730","(207) 532-2221","","Manufacturing","Houlton"
"Swallow Electric","23 Bangor St","Houlton","ME","04730","(207) 532-2233","","Electrical Contractor","Houlton"
"Tate & Lyle","2 Mill Rd","Houlton","ME","04730","(207) 532-9311","","Food Manufacturing","Houlton"
"Temple Theater","20 Market Sq","Houlton","ME","04730","(207) 532-2600","","Movie Theater","Houlton"
"United Construction & Forestry / United Ag & Turf","224 North St","Houlton","ME","04730","(207) 532-9300","","Equipment Sales","Houlton"
"Varney Agency","65 Main St","Houlton","ME","04730","(207) 532-7571","","Insurance","Houlton"
"Volumes Book Store","75 Bangor St","Houlton","ME","04730","(207) 532-7727","","Bookstore","Houlton"
"Wal-Mart #1974","136 North St","Houlton","ME","04730","(207) 532-6900","","Retail","Houlton"
"Ward Cedar Log Homes","34 Bangor St","Houlton","ME","04730","(207) 532-6531","info@wardcedarloghomes.com","Log Home Manufacturer","Houlton"
"WBCQ Radio","25-B Bangor St","Houlton","ME","04730","(207) 532-3600","","Radio Station","Houlton"
"York's of Houlton","19 Market Sq","Houlton","ME","04730","(207) 532-6544","","Bookstore/Office Supply","Houlton"
"Advance Auto Parts","41 Bangor St","Houlton","ME","04730","(207) 532-1111","","Auto Parts","Houlton"
"Circle K","112 North St","Houlton","ME","04730","(207) 532-9151","","Convenience Store/Gas","Houlton"
"Circle K","3 Military St","Houlton","ME","04730","(207) 532-3131","","Convenience Store/Gas","Houlton"
"Clukey's Auto Supply","323 North St","Houlton","ME","04730","(207) 532-7457","","Auto Parts","Houlton"
"Dollar Tree","137 North St","Houlton","ME","04730","(207) 532-5150","","Discount Retail","Houlton"
"Family Dollar","310 North St","Houlton","ME","04730","(207) 532-2469","","Discount Retail","Houlton"
"Sadie's Bakery","Market Square","Houlton","ME","04730","(207) 532-7986","","Bakery","Houlton"
"Good As New Thrift Shop","80 Main St","Houlton","ME","04730","(207) 532-0632","","Thrift Shop","Houlton"
"Houlton Powersports","381 North St","Houlton","ME","04730","(207) 532-4381","","Powersports/ATV","Houlton"
"MACS Trading Post","54 North St","Houlton","ME","04730","(207) 532-9700","","Variety Store","Houlton"
"Betty Marie's Sweet Shop","66 Main St","Houlton","ME","04730","(207) 521-5260","","Candy Store","Houlton"
"Country North Gifts","17 Market Sq","Houlton","ME","04730","(207) 532-7986","","Gift Shop","Houlton"
"Mini Music Shop","73 Main St","Houlton","ME","04730","(207) 532-4300","","Music Store","Houlton"
"Adalia North Hair Salon","300 North St","Houlton","ME","04730","(207) 254-2241","","Hair Salon","Houlton"
"Brass Anchor Barbershop","8 Court St","Houlton","ME","04730","(207) 538-8197","","Barbershop","Houlton"
"Crimps & Lites Salon","24 North St","Houlton","ME","04730","(207) 532-4465","","Beauty Salon","Houlton"
"Divine Family Hair Studio","92 Bangor St","Houlton","ME","04730","(207) 538-2292","","Hair Salon","Houlton"
"Hair Works Studio","15 Court St","Houlton","ME","04730","(207) 532-4247","","Hair Salon","Houlton"
"Lisa's Hair Designs","152 Main St","Houlton","ME","04730","(207) 532-4211","","Hair Salon","Houlton"
"Modern Beauty Salon","48 Main St","Houlton","ME","04730","(207) 532-2001","","Beauty Salon","Houlton"
"Weston's Mobil","132 Military St","Houlton","ME","04730","(207) 532-9566","","Gas Station","Houlton"
"Doc's Place","289 North St","Houlton","ME","04730","(207) 532-4161","","Gas Station/Convenience","Houlton"
"Porter's Cash Fuel","1678 US Hwy 1","Houlton","ME","04730","(207) 532-7557","","Fuel/Gas Station","Houlton"
"Thompson Oil Co","Bangor Rd","Houlton","ME","04730","(207) 532-0000","","Fuel Service","Houlton"
"Scottish Inn","239 Bangor St","Houlton","ME","04730","(207) 532-1800","","Motel","Houlton"
"Star Dust Motel","672 North St","Houlton","ME","04730","(207) 532-6700","","Motel","Houlton"
"Sleepy Hollow Bed & Breakfast","134 Main St","Houlton","ME","04730","(207) 532-7493","","B&B","Houlton"
"Houlton Market Square Shopping Center","6 Powers Ave","Houlton","ME","04730","(207) 532-9107","","Shopping Center","Houlton"
"Wiggy's Trading Post","16 Bangor St","Houlton","ME","04730","(207) 532-2189","","Antiques/Variety","Houlton"
"Shiretown Coins","37 Market Sq","Houlton","ME","04730","(207) 532-2647","","Coins/Collectibles","Houlton"
"Houlton Stamp, Coins & Antiques","8 Market Sq","Houlton","ME","04730","(207) 227-2531","","Stamps/Coins/Antiques","Houlton"
"Hy-Grow Organics","106 Main St","Houlton","ME","04730","(207) 521-5009","","Organic Farm Supply","Houlton"
"JEI Sports of Maine","7A Park St","Houlton","ME","04730","(207) 532-1577","","Sporting Goods","Houlton"
"Rather-B-Quilting","224 B Rd","Houlton","ME","04730","(207) 532-9229","","Quilting/Crafts","Houlton"
"Label Shopper","128 North St","Houlton","ME","04730","(207) 532-1542","","Discount Clothing","Houlton"
"Heart to Heart Gift Shop","678 North St","Houlton","ME","04730","(207) 532-3562","","Gift Shop","Houlton"
"Goodrich's Jewelry","300 North St","Houlton","ME","04730","(207) 532-3047","","Jewelry","Houlton"
"Daniel's Florist","29 Market Sq","Houlton","ME","04730","(207) 532-2041","","Florist","Houlton"
"Uncle Willy's Candy Shoppe","60 Main St","Houlton","ME","04730","(207) 532-3640","","Candy Store","Houlton"
"Aroostook Auto Tech","13 Mechanic St","Houlton","ME","04730","(207) 532-2173","aag@gwi.net","Auto Repair","Houlton"
"38's Auto Service","54 North St","Houlton","ME","04730","(207) 532-2424","","Auto Service","Houlton"
"Albert Fitzpatrick Trucking","3 Sugarloaf St","Houlton","ME","04730","(207) 532-6714","","Trucking","Houlton"
"Bam Truck Brokerage","454 North St","Houlton","ME","04730","(207) 532-4188","","Truck Brokerage","Houlton"
"Duff Service Station","306 Bangor St","Houlton","ME","04730","(207) 532-2061","duffsservice@gmail.com","Gas Station","Houlton"
"The Country Co-op and Farm Store","53 Main St","Houlton","ME","04730","(207) 521-5284","","Farm Supply/Grocery","Houlton"
"Seiders Variety & Redemption Center","53 Old Calais Rd","Hodgdon","ME","04730","(207) 532-3301","","Convenience Store","Hodgdon"
"T & S Market","209 Hodgdon Mills Rd","Hodgdon","ME","04730","(207) 532-6672","","Convenience Store/Grocery","Hodgdon"
"Wynes Trailside Popcorn","126 London Rd","Hodgdon","ME","04730","(207) 521-1339","","Specialty Food","Hodgdon"
"Crown of Maine Taxidermy","1052 US Hwy 1","Hodgdon","ME","04730","(207) 532-0753","","Taxidermy","Hodgdon"
"Hidden Spring Winery","1057 White Settlement Rd","Hodgdon","ME","04730","(207) 532-0753","","Winery","Hodgdon"
"Forticor Farms","82 Benn Hill Rd","Hodgdon","ME","04730","(207) 532-9696","","Farm","Hodgdon"
"Pleasant View Tree Farm","1190 Calais Rd","Hodgdon","ME","04730","(207) 532-4769","pleasantviewtreefarm.com","Tree Farm","Hodgdon"
"Seiders Hill-Top Lanes","61 Calais Rd","Hodgdon","ME","04730","(207) 254-2133","","Bowling","Hodgdon"
"Treeland Farm","335 Calais Rd","Hodgdon","ME","04730","(207) 532-2018","","Farm","Hodgdon"
"Benn Auto Sales Inc","485 US Hwy 1","Hodgdon","ME","04730","(207) 532-3540","","Auto Sales","Hodgdon"
"D & B Fire Prevention","","Hodgdon","ME","04730","(207) 532-6700","","Fire Prevention","Hodgdon"
"Littleton Service (Auto Body/Repair)","1678 US Hwy 1","Littleton","ME","04730","(207) 538-4358","","Auto Repair","Littleton"
"Perrin Realty Inc","88 Bell Rd","Littleton","ME","04730","(207) 532-3500","","Real Estate","Littleton"
"Houlton Band of Maliseet Indians","88 Bell Rd","Littleton","ME","04730","(207) 532-4273","","Tribal Government","Littleton"
"Golding Construction","64 Littleton Station Rd","Littleton","ME","04730","(207) 538-9044","","Construction","Littleton"
"Dana Foster & Sons Trucking","1537 US Hwy 1","Littleton","ME","04730","(207) 332-7008","","Trucking","Littleton"
"Henderson Helping Hand Massage","149 Carson Rd","Littleton","ME","04730","(207) 538-9313","","Massage Therapy","Littleton"
"Watson's Water Well Drilling","1565 US Hwy 1","Littleton","ME","04730","(207) 538-9512","jlwatson@pioneercable.net","Well Drilling","Littleton"
"Westerdahl Garage (Towing)","US Route 1","Littleton","ME","04730","(207) 538-9594","westerdahlsinlittletonmaine@gmail.com","Towing/Auto","Littleton"
"Shady Ridge Disc Golf","270 Foster Rd","Littleton","ME","04730","(207) 517-7824","ShadyRidge@pm.me","Disc Golf","Littleton"
"Southern Aroostook Agricultural Museum","1678 US Hwy 1","Littleton","ME","04730","(207) 538-9300","southernaroostookagmuseum@gmail.com","Museum","Littleton"
"Monticello Country Store","419 US Hwy 1","Monticello","ME","04760","(207) 538-1119","","Convenience Store","Monticello"
"Folsoms Custom Meat Cutting","237 US Hwy 1","Monticello","ME","04760","(207) 538-9449","","Butcher/Meat Processing","Monticello"
"Good Farms Inc","8 Hare Rd","Monticello","ME","04760","(207) 538-9750","","Produce Farm","Monticello"
"Wilderness Pines Campground","","Monticello","ME","04760","(207) 538-4500","wpcresort@gmail.com","Campground","Monticello"
"Transport Refrigeration Svc","43 US Hwy 1","Monticello","ME","04760","(207) 538-9572","","Refrigeration Service","Monticello"
"Harry's Used Sales","1746 Bangor Rd","Linneus","ME","04730","(207) 532-9444","","Snowmobile/Used Sales","Linneus"
"Brown's Appliance Service","2094 Bangor Rd","Linneus","ME","04730","(207) 532-2511","","Appliance Service","Linneus"
"JSL Metal Recycling","60 Drews Mills Rd","Linneus","ME","04730","(207) 532-7777","","Metal Recycling","Linneus"
"Hagan Farms","1173 Bangor Rd","Linneus","ME","04730","(207) 532-9378","","Potato Farm","Linneus"
"Fox Hollow Photography","254 Codfish Ridge Rd","Linneus","ME","04730","(207) 532-7286","","Photography","Linneus"
"Clark's Auto Sales","2136 Bangor Rd","Linneus","ME","04730","(207) 532-4009","","Auto Sales","Linneus"
"Clark's Variety","1768 Bangor Rd","Linneus","ME","04730","(207) 532-9394","","Convenience Store/Gas","Linneus"
"Ferris Qwik Stop (Linneus Corner Store)","1768 Bangor Rd","Linneus","ME","04730","(207) 532-9394","","Convenience Store","Linneus"
"Stf Forest Products","1579 Bangor Rd","Linneus","ME","04730","(207) 532-2221","","Sawmill","Linneus"
"Plisga & Day - Surveys","710 New Limerick Rd","Linneus","ME","04730","(207) 532-2695","","Land Surveying","Linneus"
"County Home Improvements","521 Little Rd","Linneus","ME","04730","(207) 532-4246","","Contractor","Linneus"
"Wood Works & Rocks of Maine","612 Drews Mills Rd","Linneus","ME","04730","","","Landscaping/Tree Service","Linneus"
"Aurora Mills and Farm","408 Burton Rd","Linneus","ME","04730","(207) 521-0094","","Organic Farm/Mill","Linneus"
"Sunnyside Family Farm","406 New Limerick Rd","Linneus","ME","04730","(207) 532-7058","","Farm","Linneus"
"Rockwater Cabins","878 Hodgdon Mills Rd","Linneus","ME","04730","(207) 532-9607","","Cabins","Linneus"
"Canine Equine Inn","1672 Bangor Rd","Linneus","ME","04730","(207) 542-9660","","Pet Boarding","Linneus"
"D & S Self Service Storage","1649 Bangor Rd","Linneus","ME","04730","(207) 532-4488","","Storage","Linneus"
"Katahdin's Shadow Outfitters","2507 Bangor Rd","Linneus","ME","04730","(207) 649-9975","","Hunting Outfitter","Linneus"
"Nature's Circle Farm","230 Codfish Rd","Linneus","ME","04730","(207) 592-1476","","Organic Farm","Linneus"
"Oakfield Thriftway","40 Ridge Rd","Oakfield","ME","04763","(207) 757-8226","","Grocery Store","Oakfield"
"Katahdin Cedar Log Homes / Katahdin Forest Products","205 Smyrna Rd","Oakfield","ME","04763","(207) 757-8278","","Log Home Manufacturer","Oakfield"
"Katahdin Trust Company","200 Oakfield Smyrna Rd","Oakfield","ME","04763","(207) 757-8288","","Bank","Oakfield"
"Whitey's Market","192 Oakfield Smyrna Rd","Oakfield","ME","04763","(207) 757-8323","","Convenience Store","Oakfield"
"Arborwall Solid Cedar Homes","215 Smyrna Rd","Oakfield","ME","04763","(800) 261-7254","","Cedar Home Builder","Oakfield"
"Knowles Corner ATV Club","PO Box 244","Oakfield","ME","04763","(207) 528-7731","","ATV Club (non-profit)","Oakfield"
"Oakfield Railway Museum","40 Station St","Oakfield","ME","04763","(207) 757-8575","stickee-1@hotmail.com","Museum","Oakfield"
"Higgins Brook Cabins","245 Brown Rd","Oakfield","ME","04763","(207) 538-5286","","Cabin Rentals","Oakfield"
"Pioneer Place (General Store)","2539 US Route 2","Smyrna","ME","04763","(207) 757-8984","","General Store","Smyrna"
"Brookside Inn","2277 US Route 2","Smyrna","ME","04763","(207) 757-8456","","Inn/Lodging","Smyrna"
"Lilley Dairy Farms","597 Smyrna Center Rd","Smyrna","ME","04763","(207) 694-0707","","Dairy Farm","Smyrna"
"Merri-Gold Greenhouse","2836 US Route 2","Smyrna","ME","04763","(207) 757-7777","","Greenhouse","Smyrna"
"Moore Farms","Route 2","Smyrna","ME","04763","(207) 757-8200","","Beef Cattle Farm","Smyrna"
"RC Logging Supplies","3429 US Route 2","Smyrna","ME","04763","(207) 757-8691","","Logging Supplies","Smyrna"
"Spring Break Maple & Honey","3315 US Route 2","Smyrna","ME","04763","(207) 757-7373","springbreakmaple@gmail.com","Maple Syrup/Honey","Smyrna"
"Sturdi-Built Storage Buildings","2836 US Route 2","Smyrna","ME","04763","(207) 757-7877","","Storage Buildings","Smyrna"
"Farm Fresh Feeds","35 Pioneer Trail","Smyrna","ME","04763","(207) 757-7300","","Livestock Feed","Smyrna"
"Kauffman Metals (Roofing)","2583 US Route 2","Smyrna","ME","04763","(207) 757-7122","","Roofing/Metal","Smyrna"
"Autumn Bounty Farm","3151 US Route 2","Smyrna","ME","04763","","","Farm Stand","Smyrna"
"Mt. Timoney Cycle Center","134 Currie Rd","Smyrna","ME","04763","(207) 757-8300","","Bicycle Shop (Amish)","Smyrna"
"Northeastern Rustic","2761 US Route 2","Smyrna","ME","04763","(207) 757-8300","","Rustic Furniture","Smyrna"
"Keyes Asphalt Paving","","Smyrna","ME","04763","(207) 757-8985","","Paving","Smyrna"
"Currie Combs Stables","111 Currie Rd","Smyrna","ME","04763","(207) 757-8964","","Horse Stables/Lessons","Smyrna"
"Bond Family Mercantile","875 Ludlow Rd","New Limerick","ME","04730","(207) 532-0505","","Furniture/Home Goods","New Limerick"
"Cameron's Market","1132 County Rd","New Limerick","ME","04730","(207) 532-2872","","Grocery/Convenience","New Limerick"
"Wayne's Auto Inc","1573 County Rd","New Limerick","ME","04730","(207) 532-2162","","Auto Sales/Repair","New Limerick"
"Nature's Circle Farm","1133 County Rd","New Limerick","ME","04730","(207) 532-9911","","Organic Farm","New Limerick"
"Houlton Community Golf Course","32 Country Club Dr","New Limerick","ME","04730","(207) 532-2662","","Golf Course","New Limerick"
"Tall Timber Lodge","492 North Shore Rd","New Limerick","ME","04730","(207) 400-9170","","Cabin/Lodge Rentals","New Limerick"
"Cochran Camp","146 Cochran Lake Rd","New Limerick","ME","04730","(207) 521-7241","","Cabin Rentals","New Limerick"
"Mini Music Shop (2nd location)","611 Drews Lake Rd","New Limerick","ME","04730","(207) 532-4300","","Music","New Limerick"
"Tires Plus Total Car Care","187 Station Rd","New Limerick","ME","04730","(207) 532-7923","","Auto Repair/Tires","New Limerick"
"S H Nevers Inc (Logging)","290 Station Rd","New Limerick","ME","04730","(207) 532-1133","","Logging","New Limerick"
"Bridgewater Mainway / Circle K / Foster's Bridgewater","27 Main Rd (US Hwy 1)","Bridgewater","ME","04735","(207) 425-2968","","Convenience Store/Gas","Bridgewater"
"The Corner Store","Corner Rd","Bridgewater","ME","04735","(207) 429-8536","","Convenience Store/Pizza","Bridgewater"
"Bradbury Barrel Company","479 US Hwy 1 / 100 Main Rd","Bridgewater","ME","04735","(207) 429-8141","","Barrel Manufacturing","Bridgewater"
"Wood Prairie Farm","49 Kinney Rd","Bridgewater","ME","04735","(207) 425-7741","","Organic Farm","Bridgewater"
"Bradbury Maple Farms","202 Bootfoot Rd","Bridgewater","ME","04735","(207) 551-5227","","Maple Syrup","Bridgewater"
"Bradstreet Family Farm","667 Main Rd","Bridgewater","ME","04735","(207) 429-8538","","Potato Farm","Bridgewater"
"#9 Lake Outfitters","174 Boundary Line Rd","Bridgewater","ME","04735","(207) 429-9632","","Outfitter/Lodging","Bridgewater"
"Smoldering Lake Outfitters","129 Snow Rd","Bridgewater","ME","04735","(207) 429-0910","","Outfitter","Bridgewater"
"Icelandics North","536 US Hwy 1","Bridgewater","ME","04735","(207) 425-7113","","Icelandic Horse Farm","Bridgewater"
"Hidden Meadow Farm","225 Montieth Rd","Bridgewater","ME","04735","(207) 425-4050","","Farm","Bridgewater"
"The Cooperage","730 US Hwy 1","Bridgewater","ME","04735","(207) 425-4269","","Gift Shop/Crafts","Bridgewater"
"Ragtime Designs","76 Montieth Rd","Bridgewater","ME","04735","(207) 425-4100","","Design/Crafts","Bridgewater"
"Halls New and Used","94 Packard Rd","Bridgewater","ME","04735","","","Used Goods","Bridgewater"
"Backridge Auto and Truck Repair","114 Bootfoot Rd","Bridgewater","ME","04735","(207) 532-3369","","Auto/Truck Repair","Bridgewater"
"Boyd's Repair","Boundary Line Rd","Bridgewater","ME","04735","(207) 429-8216","","Farm Equipment Repair","Bridgewater"
"Bradbury Bros Potato Buyers","","Bridgewater","ME","04735","(207) 425-6301","","Potato Dealer","Bridgewater"
"Shaw's Oil","304 Corner Rd","Bridgewater","ME","04735","(207) 429-8888","","Fuel/Heating Oil","Bridgewater"
"RH Foster (Foster's Bridgewater)","733 Main Rd","Bridgewater","ME","04735","(207) 425-2740","","Fuel/Energy","Bridgewater"
"Advantage Thermal","140 Bootfoot Rd","Bridgewater","ME","04735","(207) 907-0522","","Insulation Contractor","Bridgewater"
"J & J Cedar Mill","152 Bootfoot Rd / West Rd","Bridgewater","ME","04735","(207) 425-7710","","Sawmill","Bridgewater"
"A&T Investments","733 Main Rd","Bridgewater","ME","04735","(207) 425-2545","","Investments","Bridgewater"
"Aroostook Pentecostal Campground","790 US Hwy 1","Bridgewater","ME","04735","(207) 429-9731","","Campground","Bridgewater"
"DeLong Builders","104 Bootfoot Rd","Bridgewater","ME","04735","(207) 429-9223","","Construction","Bridgewater"
"Jerry's Food Store / Jerry's Thriftway","63 Houlton St (Houlton Rd)","Island Falls","ME","04747","(207) 463-2828","jerrysfoodstore848@hotmail.com","Grocery/Hardware","Island Falls"
"Katahdin Trust Company","1007 Crystal Rd","Island Falls","ME","04747","(207) 463-2228","","Bank","Island Falls"
"Island Falls One Stop","1081 Crystal Rd","Island Falls","ME","04747","(207) 463-2232","","Gas Station/Convenience","Island Falls"
"Bowers Funeral Home","54 Sherman St","Island Falls","ME","04747","(207) 532-3333","","Funeral Home","Island Falls"
"Island Falls Animal Health Clinic","1255 Crystal Rd","Island Falls","ME","04747","(207) 463-2244","","Veterinary","Island Falls"
"Katahdin Federal Credit Union","1068 Crystal Rd","Island Falls","ME","04747","(207) 463-2251","","Credit Union","Island Falls"
"Sewall House Yoga Retreat","1027 Crystal Rd","Island Falls","ME","04747","(207) 463-3344","info@sewallhouse.com","Yoga Retreat","Island Falls"
"Porter's Garage","1149 Crystal Rd","Island Falls","ME","04747","(207) 463-2255","","Gas Station/Repair","Island Falls"
"Binotto's Farm Stand","686 Sherman St","Island Falls","ME","04747","(207) 463-2851","","Farm Stand","Island Falls"
"Bishop's Market","1 Burleigh St","Island Falls","ME","04747","(207) 463-2301","","Grocery","Island Falls"
"Birch Point Campground & Cottages","33 Birch Point Ln","Island Falls","ME","04747","(207) 463-2213","","Campground/Lodging","Island Falls"
"Vacationland Estates Resort","","Island Falls","ME","04747","(207) 463-2300","","Resort","Island Falls"
"Va-Jo-Wa Golf Course","142 Walker Settlement Rd","Island Falls","ME","04747","(207) 463-2128","","Golf Course","Island Falls"
"Daigle Oil Co (Island Falls)","Crystal Rd","Island Falls","ME","04747","(207) 463-2296","","Fuel/Heating Oil","Island Falls"
"Hunt Law Offices","","Island Falls","ME","04747","(207) 463-2222","","Attorney","Island Falls"
"Perrin Realty","","Island Falls","ME","04747","(207) 463-2127","","Real Estate","Island Falls"
"Rockwell Properties","","Island Falls","ME","04747","(207) 267-0767","karrocky@yahoo.com","Real Estate","Island Falls"
"Brooks Equipment Service & Sales","","Island Falls","ME","04747","(207) 463-2921","jeffbrooks@markerman.com","Equipment Sales/Service","Island Falls"
"Katahdin Valley Health Center - Island Falls","1255 Crystal Rd","Island Falls","ME","04747","(207) 463-2244","","Health Center","Island Falls"
"Eastern Maine Electric Co-op (Island Falls)","","Island Falls","ME","04747","(207) 463-2233","","Electric Utility","Island Falls"
"The Wood Shop","144 Walker Settlement Rd","Island Falls","ME","04747","(207) 463-2232","mainewoodshop207@gmail.com","Custom Furniture/Signs","Island Falls"
"Tom York LLC","","Island Falls","ME","04747","(207) 463-2651","townmanager@islandfalls.org","Real Estate/Property","Island Falls"
"D&M Storage","","Island Falls","ME","04747","(207) 267-1520","","Storage","Island Falls"
"Pleasant Pond Self Storage","","Island Falls","ME","04747","(207) 463-2501","","Storage","Island Falls"
"Roymar Corporation (Self Storage)","","Island Falls","ME","04747","(207) 463-2829","","Storage","Island Falls"
"K&T Fire Equipment","","Island Falls","ME","04747","(207) 463-2788","","Fire Equipment","Island Falls"
"Snapper's Plumbing","","Island Falls","ME","04747","(207) 659-0964","","Plumbing","Island Falls"
"Valley Pro Services","","Island Falls","ME","04747","(207) 538-7498","","Property Services","Island Falls"
"Moulton's Small Engine Repair","","Island Falls","ME","04747","(207) 538-1721","","Small Engine Repair","Island Falls"
"Smith's Lawn Care Services LLC","","Island Falls","ME","04747","(207) 694-8075","asmithslawncareservices@gmail.com","Lawn Care","Island Falls"
