"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"Soucie's Junk Yard","1012 Route 2","Winn","ME","04495","207-736-3500","","Scrap Metal","Winn"
"Winn Service Center","1001 Route 2","Winn","ME","04495","207-736-4403","","Auto/Diesel Repair","Winn"
"Winn Equipment & Parts Inc","1177 Route 2","Winn","ME","04495","207-736-2075","","Welding/Equipment","Winn"
"Lakeville Shores Inc","40 Route 168","Winn","ME","04495","207-736-3412","","Real Estate","Winn"
"Williams Trucking","53 Phillips Rd","Winn","ME","04495","207-736-2041","","Trucking","Winn"
"Wyman Hardware","222 Main St","Mattawamkeag","ME","04459","207-736-2570","","Hardware Store","Mattawamkeag"
"Big Apple Store","105 Main St","Mattawamkeag","ME","04459","207-736-2305","","Convenience Store/Gas","Mattawamkeag"
"PJ's General Store","306 Main St","Mattawamkeag","ME","04459","207-736-3871","","General Store","Mattawamkeag"
"Pinetree Pellet Fuels LLC","41 Graham Ln","Mattawamkeag","ME","04459","207-274-7413","","Pellet Fuel","Mattawamkeag"
"Wheeler World","425 Medway Rd","Mattawamkeag","ME","04459","(207) 736-3043","25194@powersportshub.com","Retail/Service","Mattawamkeag"
"Reflection Hair Salon","51 Main St","Mattawamkeag","ME","04459","(207) 736-4355","","Hair Salon","Mattawamkeag"
"Eva's Beauty Shoppe","23 Medway Rd","Mattawamkeag","ME","04459","(207) 736-4525","","Beauty Shop","Mattawamkeag"
"Markie's Garage","67 Main St","Mattawamkeag","ME","04459","(207) 736-4202","","Auto Repair","Mattawamkeag"
"Mattawamkeag Wilderness Park Campground","1 Wilderness Park Dr","Mattawamkeag","ME","04459","207-736-2021","","Campground","Mattawamkeag"
"Raymond's Variety","2789 Lee Rd","Lee","ME","04455","207-738-2558","","Variety Store/Gas","Lee"
"Mallett's Mill Inc","149 Malletts Mill Rd","Lee","ME","04455","207-738-2200","","Lumber/Building Materials","Lee"
"Marble Creek Acres Winery & Cidery","279 Winn Rd","Lee","ME","04455","207-290-3694","","Winery/Cidery","Lee"
"Sleeping Bear Campground & Cabins","346 Arab Rd","Lee","ME","04455","207-399-3030","","Campground","Lee"
"Smith's General Store","985 Main St","Springfield","ME","04487","207-738-2171","","General Store/Gas","Springfield"
"Wood & Wires Guitar Shop","173 Park St","Springfield","ME","04487","207-738-5100","","Music Store","Springfield"
"Springfield Fair","91 Park St","Springfield","ME","04487","207-738-2170","","Fairgrounds","Springfield"
"Springfieldtyme Bed & Breakfast","3 True Rd","Springfield","ME","04487","207-738-2323","","Bed & Breakfast","Springfield"
"T.E. Linscott Inc","271 Park St","Springfield","ME","04487","207-738-2705","","Excavation","Springfield"
"Lee Barbershop & Styling Salon","985 Main St","Springfield","ME","04487","207-738-2442","","Barber/Salon","Springfield"
"Applebee's Superette","248 Cardville Rd","Greenbush","ME","04418","207-827-5997","","Convenience Store/Grocery","Greenbush"
"Old Country Store","1377 Main Rd","Greenbush","ME","04418","207-827-6524","","General Store","Greenbush"
"C.S. Auto Repair","705 Cardville Rd #B","Greenbush","ME","04418","207-827-6600","","Auto Repair","Greenbush"
"Dunrite Car Care & Repair","1373 Route 2","Greenbush","ME","04418","207-827-1100","","Auto Repair","Greenbush"
"Crystal Clear Communications","45 Main Rd","Greenbush","ME","04418","207-827-5511","","Communications","Greenbush"
"Riverside Heating","1377 Main Rd","Greenbush","ME","04418","207-827-5919","","Heating","Greenbush"
"Ryan's Carpet Cleaning","958 Cardville Rd","Greenbush","ME","04418","207-827-2021","","Carpet Cleaning","Greenbush"
"Cardville Redemption Center","646 Cardville Rd","Greenbush","ME","04418","(207) 827-9806","","Redemption Center","Greenbush"
"Michaud Woodcrafters","880 Spring Bridge Rd","Greenbush","ME","04418","(207) 826-2329","","Woodworking","Greenbush"
"Northeast Concrete Specialists","41 Lower River Rd","Greenbush","ME","04418","(207) 827-1449","","Concrete","Greenbush"
"Rick Lyford Trucking Inc","256 Cards Ridge Rd","Greenbush","ME","04418","(207) 827-4772","","Trucking","Greenbush"
"GSV Surveying & Land Services","229 Middle River Rd","Greenbush","ME","04418","(207) 827-5436","","Surveying","Greenbush"
